 * Serving Flask app "server.py"
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://130.113.68.111:8000/ (Press CTRL+C to quit)
130.113.70.51 - - [21/Aug/2018 16:58:38] "GET /sendData?numData=1&type1=EC&id1=02&value1=45 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:38] "GET /sendData?numData=1&type1=EC&id1=02&value1=46 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:38] "GET /sendData?numData=1&type1=EC&id1=02&value1=47 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:38] "GET /sendData?numData=1&type1=EC&id1=02&value1=48 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:38] "GET /sendData?numData=1&type1=EC&id1=02&value1=49 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:38] "GET /sendData?numData=1&type1=EC&id1=02&value1=50 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:38] "GET /sendData?numData=1&type1=EC&id1=02&value1=51 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:38] "GET /sendData?numData=1&type1=EC&id1=02&value1=52 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:38] "GET /sendData?numData=1&type1=EC&id1=02&value1=53 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:38] "GET /sendData?numData=1&type1=EC&id1=02&value1=54 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:38] "GET /sendData?numData=1&type1=EC&id1=02&value1=55 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:38] "GET /sendData?numData=1&type1=EC&id1=02&value1=56 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:38] "GET /sendData?numData=1&type1=EC&id1=02&value1=57 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:38] "GET /sendData?numData=1&type1=EC&id1=02&value1=58 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:38] "GET /sendData?numData=1&type1=EC&id1=02&value1=59 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:38] "GET /sendData?numData=1&type1=EC&id1=02&value1=60 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:39] "GET /sendData?numData=1&type1=EC&id1=02&value1=61 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:39] "GET /sendData?numData=1&type1=EC&id1=02&value1=62 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:39] "GET /sendData?numData=1&type1=EC&id1=02&value1=63 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:39] "GET /sendData?numData=1&type1=EC&id1=02&value1=64 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:39] "GET /sendData?numData=1&type1=EC&id1=02&value1=65 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:39] "GET /sendData?numData=1&type1=EC&id1=02&value1=66 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:39] "GET /sendData?numData=1&type1=EC&id1=02&value1=67 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:39] "GET /sendData?numData=1&type1=EC&id1=02&value1=68 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:39] "GET /sendData?numData=1&type1=EC&id1=02&value1=69 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:39] "GET /sendData?numData=1&type1=EC&id1=02&value1=70 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:39] "GET /sendData?numData=1&type1=EC&id1=02&value1=71 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:39] "GET /sendData?numData=1&type1=EC&id1=02&value1=72 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:39] "GET /sendData?numData=1&type1=EC&id1=02&value1=73 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:39] "GET /sendData?numData=1&type1=EC&id1=02&value1=74 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:39] "GET /sendData?numData=1&type1=EC&id1=02&value1=75 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:39] "GET /sendData?numData=1&type1=EC&id1=02&value1=76 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:39] "GET /sendData?numData=1&type1=EC&id1=02&value1=77 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:39] "GET /sendData?numData=1&type1=EC&id1=02&value1=78 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:39] "GET /sendData?numData=1&type1=EC&id1=02&value1=79 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:39] "GET /sendData?numData=1&type1=EC&id1=02&value1=80 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:40] "GET /sendData?numData=1&type1=EC&id1=02&value1=81 HTTP/1.1" 200 -
