Location;DBType;Channel;TimeUTC;Status;Quality;Value
;Raw;Ammonia;11/1/2017 3:31:00 PM;137;0;30.403600692749
;Raw;Ammonia;11/1/2017 3:32:00 PM;137;0;30.403299331665
;Raw;Ammonia;11/1/2017 3:33:00 PM;137;0;30.4127998352051
;Raw;Ammonia;11/1/2017 3:34:00 PM;137;0;30.4125003814697
;Raw;Ammonia;11/1/2017 3:35:00 PM;137;0;30.4116992950439
;Raw;Ammonia;11/1/2017 3:36:00 PM;137;0;30.4148006439209
;Raw;Ammonia;11/1/2017 3:37:00 PM;137;0;30.4853000640869
;Raw;Ammonia;11/1/2017 3:38:00 PM;137;0;30.4134006500244
;Raw;Ammonia;11/1/2017 3:39:00 PM;137;0;30.4046993255615
;Raw;Ammonia;11/1/2017 3:40:00 PM;137;0;30.4006996154785
;Raw;Ammonia;11/1/2017 3:41:00 PM;137;0;30.4055995941162
;Raw;Ammonia;11/1/2017 3:42:00 PM;137;0;30.4018993377686
;Raw;Ammonia;11/1/2017 3:43:00 PM;137;0;30.4120006561279
;Raw;Ammonia;11/1/2017 3:44:00 PM;137;0;30.4094009399414
;Raw;Ammonia;11/1/2017 3:45:00 PM;137;0;30.4137001037598
;Raw;Ammonia;11/1/2017 3:46:00 PM;137;0;30.4151992797852
;Raw;Ammonia;11/1/2017 3:47:00 PM;137;0;30.417200088501
;Raw;Ammonia;11/1/2017 3:48:00 PM;137;0;30.403299331665
;Raw;Ammonia;11/1/2017 3:49:00 PM;137;0;30.4078998565674
;Raw;Ammonia;11/1/2017 3:50:00 PM;137;0;30.4137001037598
;Raw;Ammonia;11/1/2017 3:51:00 PM;137;0;30.4125003814697
;Raw;Ammonia;11/1/2017 3:52:00 PM;137;0;30.3997993469238
;Raw;Ammonia;11/1/2017 3:53:00 PM;137;0;30.2395000457764
;Raw;Ammonia;11/1/2017 3:54:00 PM;137;0;30.160400390625
;Raw;Ammonia;11/1/2017 3:55:00 PM;137;0;30.1581001281738
;Raw;Ammonia;11/1/2017 3:56:00 PM;137;0;30.160400390625
;Raw;Ammonia;11/1/2017 3:57:00 PM;137;0;30.1583995819092
;Raw;Ammonia;11/1/2017 3:58:00 PM;137;0;30.1573009490967
;Raw;Ammonia;11/1/2017 3:59:00 PM;137;0;30.1650009155273
;Raw;Ammonia;11/1/2017 4:00:00 PM;137;0;30.0832996368408
;Raw;Ammonia;11/1/2017 4:01:00 PM;137;0;30.0912990570068
;Raw;Ammonia;11/1/2017 4:02:00 PM;137;0;30.0925006866455
;Raw;Ammonia;11/1/2017 4:03:00 PM;137;0;30.0916004180908
;Raw;Ammonia;11/1/2017 4:04:00 PM;137;0;30.0893001556396
;Raw;Ammonia;11/1/2017 4:05:00 PM;137;0;30.0778999328613
;Raw;Ammonia;11/1/2017 4:06:00 PM;137;0;30.0013008117676
;Raw;Ammonia;11/1/2017 4:07:00 PM;137;0;29.9302997589111
;Raw;Ammonia;11/1/2017 4:08:00 PM;137;0;29.8421001434326
;Raw;Ammonia;11/1/2017 4:09:00 PM;137;0;29.8432006835938
;Raw;Ammonia;11/1/2017 4:10:00 PM;137;0;29.7658004760742
;Raw;Ammonia;11/1/2017 4:11:00 PM;137;0;29.7632007598877
;Raw;Ammonia;11/1/2017 4:12:00 PM;137;0;29.7660999298096
;Raw;Ammonia;11/1/2017 4:13:00 PM;137;0;29.8397998809814
;Raw;Ammonia;11/1/2017 4:14:00 PM;137;0;29.7612991333008
;Raw;Ammonia;11/1/2017 4:15:00 PM;137;0;29.7621002197266
;Raw;Ammonia;11/1/2017 4:16:00 PM;137;0;29.7590007781982
;Raw;Ammonia;11/1/2017 4:17:00 PM;137;0;29.7534008026123
;Raw;Ammonia;11/1/2017 4:18:00 PM;137;0;29.7553005218506
;Raw;Ammonia;11/1/2017 4:19:00 PM;137;0;29.7530002593994
;Raw;Ammonia;11/1/2017 4:20:00 PM;137;0;29.7609996795654
;Raw;Ammonia;11/1/2017 4:21:00 PM;137;0;29.6690998077393
;Raw;Ammonia;11/1/2017 4:22:00 PM;137;0;29.6601009368896
;Raw;Ammonia;11/1/2017 4:23:00 PM;137;0;29.5788993835449
;Raw;Ammonia;11/1/2017 4:24:00 PM;137;0;29.5820007324219
;Raw;Ammonia;11/1/2017 4:25:00 PM;137;0;29.6623001098633
;Raw;Ammonia;11/1/2017 4:26:00 PM;137;0;29.5919990539551
;Raw;Ammonia;11/1/2017 4:27:00 PM;137;0;29.5949001312256
;Raw;Ammonia;11/1/2017 4:28:00 PM;137;0;29.5844993591309
;Raw;Ammonia;11/1/2017 4:29:00 PM;137;0;29.5893001556396
;Raw;Ammonia;11/1/2017 4:30:00 PM;137;0;29.5919990539551
;Raw;Ammonia;11/1/2017 4:31:00 PM;137;0;29.5953998565674
;Raw;Ammonia;11/1/2017 4:32:00 PM;137;0;29.5876007080078
;Raw;Ammonia;11/1/2017 4:33:00 PM;137;0;29.5792007446289
;Raw;Ammonia;11/1/2017 4:34:00 PM;137;0;29.4958992004395
;Raw;Ammonia;11/1/2017 4:35:00 PM;137;0;29.5062999725342
;Raw;Ammonia;11/1/2017 4:36:00 PM;137;0;29.425199508667
;Raw;Ammonia;11/1/2017 4:37:00 PM;137;0;29.4218997955322
;Raw;Ammonia;11/1/2017 4:38:00 PM;137;0;29.425500869751
;Raw;Ammonia;11/1/2017 4:39:00 PM;137;0;29.3430995941162
;Raw;Ammonia;11/1/2017 4:40:00 PM;137;0;29.3488006591797
;Raw;Ammonia;11/1/2017 4:41:00 PM;137;0;29.3514003753662
;Raw;Ammonia;11/1/2017 4:42:00 PM;137;0;29.417200088501
;Raw;Ammonia;11/1/2017 4:43:00 PM;137;0;29.3432998657227
;Raw;Ammonia;11/1/2017 4:44:00 PM;137;0;29.3409996032715
;Raw;Ammonia;11/1/2017 4:45:00 PM;137;0;29.342399597168
;Raw;Ammonia;11/1/2017 4:46:00 PM;137;0;29.2703990936279
;Raw;Ammonia;11/1/2017 4:47:00 PM;137;0;29.2670993804932
;Raw;Ammonia;11/1/2017 4:48:00 PM;137;0;29.1870002746582
;Raw;Ammonia;11/1/2017 4:49:00 PM;137;0;29.1854991912842
;Raw;Ammonia;11/1/2017 4:50:00 PM;137;0;29.1012001037598
;Raw;Ammonia;11/1/2017 4:51:00 PM;137;0;29.0198993682861
;Raw;Ammonia;11/1/2017 4:52:00 PM;137;0;28.9393005371094
;Raw;Ammonia;11/1/2017 4:53:00 PM;137;0;28.9426002502441
;Raw;Ammonia;11/1/2017 4:54:00 PM;137;0;28.951099395752
;Raw;Ammonia;11/1/2017 4:55:00 PM;137;0;28.880199432373
;Raw;Ammonia;11/1/2017 4:56:00 PM;137;0;28.9608993530273
;Raw;Ammonia;11/1/2017 4:57:00 PM;137;0;28.9619998931885
;Raw;Ammonia;11/1/2017 4:58:00 PM;137;0;28.9696998596191
;Raw;Ammonia;11/1/2017 4:59:00 PM;137;0;28.9768009185791
;Raw;Ammonia;11/1/2017 5:00:00 PM;137;0;28.9629001617432
;Raw;Ammonia;11/1/2017 5:01:00 PM;137;0;28.9577007293701
;Raw;Ammonia;11/1/2017 5:02:00 PM;137;0;28.9444999694824
;Raw;Ammonia;11/1/2017 5:03:00 PM;137;0;28.9393005371094
;Raw;Ammonia;11/1/2017 5:04:00 PM;137;0;28.7954006195068
;Raw;Ammonia;11/1/2017 5:05:00 PM;137;0;28.7198009490967
;Raw;Ammonia;11/1/2017 5:06:00 PM;137;0;28.7208995819092
;Raw;Ammonia;11/1/2017 5:07:00 PM;137;0;28.7943000793457
;Raw;Ammonia;11/1/2017 5:08:00 PM;137;0;28.7964992523193
;Raw;Ammonia;11/1/2017 5:09:00 PM;137;0;28.8001003265381
;Raw;Ammonia;11/1/2017 5:10:00 PM;137;0;28.798999786377
;Raw;Ammonia;11/1/2017 5:11:00 PM;137;0;28.8019008636475
;Raw;Ammonia;11/1/2017 5:12:00 PM;137;0;28.8096008300781
;Raw;Ammonia;11/1/2017 5:13:00 PM;137;0;28.8012008666992
;Raw;Ammonia;11/1/2017 5:14:00 PM;137;0;28.8696002960205
;Raw;Ammonia;11/1/2017 5:15:00 PM;137;0;28.8680000305176
;Raw;Ammonia;11/1/2017 5:16:00 PM;137;0;28.7926998138428
;Raw;Ammonia;11/1/2017 5:17:00 PM;137;0;28.7964992523193
;Raw;Ammonia;11/1/2017 5:18:00 PM;137;0;28.7183990478516
;Raw;Ammonia;11/1/2017 5:19:00 PM;137;0;28.7194995880127
;Raw;Ammonia;11/1/2017 5:20:00 PM;137;0;28.6429996490479
;Raw;Ammonia;11/1/2017 5:21:00 PM;137;0;28.637300491333
;Raw;Ammonia;11/1/2017 5:22:00 PM;137;0;28.5660991668701
;Raw;Ammonia;11/1/2017 5:23:00 PM;137;0;28.5685005187988
;Raw;Ammonia;11/1/2017 5:24:00 PM;137;0;28.5683002471924
;Raw;Ammonia;11/1/2017 5:25:00 PM;137;0;28.5695991516113
;Raw;Ammonia;11/1/2017 5:26:00 PM;137;0;28.6497993469238
;Raw;Ammonia;11/1/2017 5:27:00 PM;137;0;28.6527996063232
;Raw;Ammonia;11/1/2017 5:28:00 PM;137;0;28.8041000366211
;Raw;Ammonia;11/1/2017 5:29:00 PM;137;0;28.7238998413086
;Raw;Ammonia;11/1/2017 5:30:00 PM;137;0;28.6483993530273
;Raw;Ammonia;11/1/2017 5:31:00 PM;137;0;28.6438007354736
;Raw;Ammonia;11/1/2017 5:32:00 PM;137;0;28.5685005187988
;Raw;Ammonia;11/1/2017 5:33:00 PM;137;0;28.5751991271973
